"","BjSa-1","BjSa-2","BjSa-4","BjSa-5","BjSa-6","BjSa-7","Past-1","Past-2","Past-3","Past-4","Past-5","Past-6","Replant-1","Replant-2","Replant-3","Replant-5","Replant-6","Replant-7"
"54ac545d1c00401dbd15cbf23dd308ba",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"7b0d4e1873f6119021f29195d2a02ddc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"137c97ab0f462c438313b5511f2f3ee5",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"257b32846e94086d2f823c8f678e9edc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"2f8d09129227a2c54a275d2083e5e95b",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7561b7928c2a38da04ee8bf61d7b7d9d",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"1e4115773ecd3e8c80bca3ac8fe6b594",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"79acebe072a547cec5d51b8dc45fc904",0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,4,0
"36fcffddf22dca369068ab1ab21aa2b8",0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
"e9fef30e18886db83e7c9c5bc880b9ea",0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
"61fe22ccc451dc8822bc1776dd5158ce",0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
"12be81b694041b80ee4cc21756b40a82",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e62e2bfa4b4b6aaba8102a30f7b6174b",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"a5c5aadce5ec7673cf13eac8ba14068b",0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0
"85ddb9b8ff735a8725ad80ee0c9c3521",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"d17cfda0c70974f5aa26cc5e19777d5f",0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,2,2
"179254ac1ab8f447aca5ce05df862422",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9cbadb1b76430f39b44b9321ac519191",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4eac7179e8d3a83695a45376758f6f23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"cb9e8bb32fc3920d70eb28b666628716",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"fa4796fe7b481cbecb80ae652d83ff12",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"a530dc9e5297010db23b69179107172a",0,0,0,0,0,0,4,0,0,0,26,0,0,0,0,0,8,0
"85c4a347a8dce5706f2a00ba0db88e22",0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"250dff80b0f91463ad69b2a4dbaba88a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
"2072d3d24db7f63c51e11178e49c55fd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"5d6aa8760b581acad4c6fd722b5c61ee",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"fe8dfad903d2d06fde06cc6400e8d417",0,7,0,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"6420053a96c2f3d58ef139c1c44131e2",16,8,0,166,85,0,2,0,0,0,0,0,23,36,38,19,0,20
"c3149418dc6a348b3d9d3299cfc7f055",0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0
"c521c0f0e5bfa2f153c2db0da7d61bb3",0,0,0,0,0,0,0,0,0,0,0,0,0,42,13,0,0,11
"e24e138c3c3932c8ad44e70985337de4",0,5,0,62,0,49,0,0,0,0,0,0,44,0,0,0,7,0
"f3cc14dfac78bc76497dcba901e5226f",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"d5c36b386ad3a0f4bd16ac7048a79559",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"01d331099292a8c7e25dd075057b3325",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
